"","x"
"1",13.51
"2",13.51
"3",42.13
"4",22.51
"5",5.2
"6",-1.4
"7",0.82
"8",-47.31
"9",-65.63598
"10",-71.42
"11",-74.58
"12",-77.55
"13",-74.58
"14",-74.44
"15",-74.77056
"16",-75.54
"17",-75.54
"18",-74.44
"19",-71
"20",9.78
"21",19.27
"22",0
"23",45.1
"24",45.1
"25",145
"26",145
"27",35.1
"28",28.53
"29",32.6
"30",32.6
"31",50
"32",-25
"33",20.80407
"34",62.55
"35",64.03
"36",20
"37",0
"38",0
"39",40.13
"40",45.02
"41",112
"42",105
"43",-20
"44",-34.5
"45",87
"46",-25
"47",80
"48",18.34
"49",21.65
"50",78.5
"51",78.5
"52",12
"53",12
"54",4
"55",0
"56",0
"57",-4.5704
"58",-19
"59",74
"60",74
"61",-19.98993
"62",-9
"63",-15
"64",-15
"65",1.93
"66",21.73
"67",27.05
"68",29.62
"69",30.01
"70",31.73
"71",33.42
"72",34.23
"73",31.08
"74",91.8
"75",103.89828
"76",104
"77",120.02442
"78",103
"79",73.96
"80",0
"81",0
"82",119
"83",0
"84",21
"85",-25
"86",-25
"87",-25
"88",41.7
"89",75
"90",75
"91",34.12
"92",34.12
"93",3
"94",0.17
"95",130
"96",100
"97",-32.27
"98",-5.28
"99",-70.97
"100",-71.42
"101",-71.42
"102",-74.44
"103",-71
"104",-74.58
"105",-74.58
"106",-74.58
"107",-77.55
"108",-74.44
"109",59.99
"110",110
"111",0
"112",20
"113",20
"114",70.56
"115",146
"116",152.75
"117",148
"118",148
"119",20.5
"120",26
"121",162.95
"122",30
"123",162.95
"124",162.95
"125",162.95
"126",185
"127",181
"128",30
"129",31
"130",65
"131",224
"132",181
"133",31
"134",0
"135",225
"136",225
"137",225
"138",0
"139",159
"140",31.8
"141",21
"142",2
"143",92.6
"144",20
"145",30
"146",175
"147",175
"148",96.53669
"149",80.5
"150",85.01
"151",79.08
"152",74.7096
"153",80.92
"154",30
"155",30
"156",30
"157",143.53
"158",20
"159",35
"160",35
"161",30
"162",205
"163",205
"164",206
"165",206
"166",206
"167",207
"168",206
"169",227
"170",227
"171",210
"172",57
"173",77
"174",234
"175",234
"176",234
"177",234
"178",260
"179",263
"180",262.9
"181",234
"182",234
"183",234
"184",234
"185",233
"186",220
"187",220
"188",38
"189",152.48
"190",152.48
"191",20
"192",89.85
"193",-16.32
"194",197.5
"195",197.5
"196",98.29
"197",70
"198",-39.19
"199",-42.1
"200",-48.76
"201",219
"202",205
"203",130.18
"204",205
"205",200
"206",218
"207",214.68
"208",226.7901
"209",243
"210",235
"211",235
"212",235
"213",120
"214",85
"215",120
"216",120
"217",120
"218",235
"219",241.9
"220",235
"221",235
"222",295
"223",295
"224",400
"225",400
"226",444
"227",400
"228",400
"229",125
"230",400
"231",240
"232",240
"233",270
"234",125
"235",240
"236",236
"237",125
"238",227
"239",227
"240",227
"241",102
"242",170
"243",95
"244",77
"245",77
"246",77
"247",216
"248",77
"249",0
"250",0
"251",77
"252",77
"253",78
"254",213
"255",78
"256",235
"257",235
"258",235
"259",235
"260",235
"261",254
"262",255
"263",245
"264",237.37
"265",187.34
"266",253.5
"267",253.5
"268",255
"269",270
"270",270
"271",131
"272",259.5
"273",250
"274",150
"275",257.95
"276",255
"277",255
"278",135
"279",131.65
"280",131.65
"281",131.65
"282",131.65
"283",231
"284",135
"285",231
"286",25
"287",165.49
"288",153.68
"289",0
"290",142.98
"291",216
"292",227.5
"293",220.95
"294",220.95
"295",216
"296",216
"297",220.95
"298",216
"299",20
"300",20
"301",191.66
"302",192
"303",239.5
"304",272
"305",259.85
"306",259.85
"307",229.28
"308",229.31
"309",165
"310",218.52
"311",135.15
"312",136
"313",245
"314",279.95026
"315",285.00015
"316",285
"317",285
"318",285
"319",252
"320",309.9502
"321",309.9499
"322",272
"323",272
"324",280
"325",280
"326",280
"327",299.94998
"328",270
"329",146
"330",139
"331",144
"332",225
"333",279.95
"334",132.1
"335",132.1
"336",138
"337",110
"338",234
"339",238
"340",209
"341",263
"342",238
"343",220
"344",110.1
"345",110.1
"346",81
"347",81
"348",209
"349",219
"350",208
"351",110
"352",110
"353",110
"354",223
"355",110
"356",111.05
"357",219
"358",223
"359",222.7111
"360",270
"361",280.94
"362",219
"363",228
"364",218.5
"365",218.5
"366",218.5
"367",219
